birth,life,deltactcf,clife,cof,sep,face,peaktotal
0.0025,66,1500,17.0,1.7,74,1.0,4815564
0.0025,66,200,17.0,1.7,100,1.0,3819188
0.0025,66,200,17.0,1.7,74,1.0,4911917
0.0025,66,20,17.0,1.7,100,1.0,3924117
0.0025,66,20,17.0,1.7,74,1.0,4985774
0.0025,66,3000,17.0,1.7,100,1.0,3797368
0.0025,66,3000,17.0,1.7,74,1.0,4747338
0.0025,66,400,17.0,1.7,100,1.0,3836283
0.0025,66,400,17.0,1.7,74,1.0,4928212
0.0025,66,40,17.0,1.7,100,1.0,3988687
0.0025,66,40,17.0,1.7,74,1.0,4947192
0.0025,66,4,17.0,1.7,100,1.0,3993885
0.0025,66,4,17.0,1.7,74,1.0,4894135
0.0025,66,5000,17.0,1.7,100,1.0,3724973
0.0025,66,5000,17.0,1.7,74,1.0,4798846
0.0025,66,8,17.0,1.7,100,1.0,3949433
0.0025,66,8,17.0,1.7,74,1.0,5077598
0.005,66,1000,17.0,1.7,100,1.0,3795838
0.005,66,1000,17.0,1.7,74,1.0,4862416
0.005,66,100,17.0,1.7,100,1.0,4044751
0.005,66,100,17.0,1.7,74,1.0,5273706
0.005,66,10,17.0,1.7,100,1.0,4022145
0.005,66,10,17.0,1.7,74,1.0,5277468
0.005,66,1500,17.0,1.7,100,1.0,3818301
0.005,66,1500,17.0,1.7,74,1.0,4880205
0.005,66,200,17.0,1.7,100,1.0,3962823
0.005,66,200,17.0,1.7,74,1.0,5042605
0.005,66,20,17.0,1.7,100,1.0,4039772
0.005,66,20,17.0,1.7,74,1.0,5320076
0.005,66,3000,17.0,1.7,100,1.0,3755977
0.005,66,3000,17.0,1.7,74,1.0,4744932
0.005,66,400,17.0,1.7,100,1.0,4019793
0.005,66,400,17.0,1.7,74,1.0,5083073
0.005,66,40,17.0,1.7,100,1.0,4123028
0.005,66,40,17.0,1.7,74,1.0,5259281
0.005,66,4,17.0,1.7,100,1.0,4120103
0.005,66,4,17.0,1.7,74,1.0,5326691
0.005,66,5000,17.0,1.7,100,1.0,3799322
0.005,66,5000,17.0,1.7,74,1.0,4690251
0.005,66,8,17.0,1.7,100,1.0,4040969
0.005,66,8,17.0,1.7,74,1.0,5125017
0.0075,66,1000,17.0,1.7,100,1.0,3902395
0.0075,66,1000,17.0,1.7,74,1.0,4908658
0.0075,66,100,17.0,1.7,100,1.0,4151388
0.0075,66,100,17.0,1.7,74,1.0,5400189
0.0075,66,10,17.0,1.7,100,1.0,4248304
0.0075,66,10,17.0,1.7,74,1.0,5299571
0.0075,66,1500,17.0,1.7,100,1.0,3840026
0.0075,66,1500,17.0,1.7,74,1.0,4912745
0.0075,66,200,17.0,1.7,100,1.0,4092346
0.0075,66,200,17.0,1.7,74,1.0,5381501
0.0075,66,20,17.0,1.7,100,1.0,4213651
0.0075,66,20,17.0,1.7,74,1.0,5429430
0.0075,66,3000,17.0,1.7,100,1.0,3744619
0.0075,66,3000,17.0,1.7,74,1.0,4767685
0.0075,66,400,17.0,1.7,100,1.0,4111332
0.0075,66,400,17.0,1.7,74,1.0,5165656
0.0075,66,40,17.0,1.7,100,1.0,4242345
0.0075,66,40,17.0,1.7,74,1.0,5328116
0.0075,66,4,17.0,1.7,100,1.0,4151919
0.0075,66,4,17.0,1.7,74,1.0,5292996
0.0075,66,5000,17.0,1.7,100,1.0,3703773
